"cc","p","b","n","rsq","maxspi","minspi","meanspi"
"ZW",0.0428928187332303,4.63115494857183,11234,0.0348825099163011,1.91794426784668,-1.06183994620866,0.233478295068367
"UG",3.46580897283031e-06,9.35925304265979,7098,0.0694314080548422,2.56757538752875,-2.39444794451558,-0.238296791000722
"NP",9.34927045599685e-14,-13.4636320381057,11490,0.143536820610958,1.48509188673564,-1.24919759676375,0.273156590111818
"NM",0.0517548035091937,-6.19445905454866,5329,0.0570653085673631,2.37117719747273,-1.92029314576882,0.588800253314272
"MW",1.25224596490694e-15,-11.9146018660498,15766,0.0731408537823776,1.7529452423743,-2.01815804401244,-0.24341808372764
"ML",0.0185858141875842,-3.66605496123519,18163,0.0735698786419227,2.18275990408346,-1.89712007303804,0.304387012940614
"KH",2.31104696967042e-07,7.59603726744452,10101,0.128791986928984,2.51950326550179,-2.00362188325514,0.536426559293924
"JO",0.179914134175601,4.29331355844661,4927,0.041863703847467,0.787206862719494,-1.93141242373783,-0.509556176084865
"HT",0.0805907542815655,5.13634062322659,8088,0.082371042517287,2.04777079683187,-0.43305226502652,1.03416170079204
"ET",4.31951320373889e-23,9.54995174329359,25295,0.0893050721352632,2.97223840822483,-3.18996364611327,-0.154681055294414
"EG",0.000570296283984964,4.69805464110738,31161,0.0195207641154316,4.52260280152289,-3.3898352966697,-0.28667111886284
"BJ",0.0384264804444916,3.78636403420414,7431,0.0779735418472087,2.79947653166092,-2.30403637730692,0.491215273647921
