"cc","p","b","n","rsq","maxspi","minspi","meanspi"
"TD",3.30801997723931e-25,25.6162991320274,7828,0.11076587365543,1.60147811820342,-2.5626410485853,-0.43530856059078
"MM",0.451953163671014,2.10906875964798,3308,0.120553039981739,1.72465638189384,-1.88241199949323,-0.489018882118918
"GU",1.50729122025046e-19,16.441948942743,7637,0.186217487412499,3.06100391340761,-0.528959231089991,1.03442111038861
"AO",0.86473310361944,0.639624851437406,2829,0.0319299855523596,1.77797123492771,-3.25001416178835,-0.765515613187738
"TZ",0.00112459369218355,3.90140778078837,12226,0.0617681030452261,2.89690142299632,-1.84471838706489,0.251038608721557
"TL",0.000315487988868998,-28.853777055062,5828,0.0804542895757761,1.44968012095561,-0.281432588216057,0.594268238837322
"TJ",0.81263905812574,-0.735595901454814,2919,0.0457756086772861,1.15575355976426,-2.05902553863566,0.00427464091557461
"TG",0.45043236674901,-5.17761998531103,2311,0.0905250091564685,0.766821166941469,-1.61958111578654,-0.135534902136899
"SN",0.772375663682359,-0.339168376021005,15228,0.0368629250044814,2.39637937422612,-2.46642818097155,0.390375137320936
"MZ",0.0501859277749407,4.97684961766986,6338,0.0574836968766033,1.75348945349736,-2.62287833986422,-0.33265689324945
"LS",0.570243734341158,3.13204641823389,2364,0.102378049929796,0.825685783917228,-1.49186424110799,-0.297709516129942
"KY",0.955367762312742,-0.222103262412744,2955,0.0654508980263486,1.18112031104055,-2.14087645467677,-0.0094627452909842
"KM",0.287379501339328,10.2564895441243,1512,0.0387002609083665,2.88021234672575,0.611752482621773,1.42267624705599
"HN",1.83625034605288e-06,-11.0103873581698,6533,0.190271872028855,2.85684233321812,-0.106647524212219,1.4739834407563
"GA",0.304976680748727,5.68756606740588,1294,0.071796065289208,1.13155047999104,-2.30272996624423,-0.280327580655189
"CO",0.0576645808751402,4.72097654148033,5822,0.0944217776507783,1.79100949455809,-1.84792283935584,0.196815608424133
"CM",0.0667743390232247,-8.36626058727846,2949,0.127373231640786,2.40913781351315,-1.45948999990217,-0.0341333081489614
"CI",0.00602725984166769,15.7214900926916,2043,0.104062393513466,3.11714091522035,0.105112433454845,1.24179703032853
