"LZCODE","p","b","n","rsq","maxspi","minspi","meanspi"
"AO02",0.724067429229183,-7.00730395945996,231,0.0697771131137909,0.749591046780642,-1.15390090797293,-0.398809225581813
"AO03",0.58008389347169,7.10735934150423,438,0.0381642231851712,0.967181348395377,-1.74168120590571,-0.332972441706256
"AO07",0.206040343190864,-14.0330300520648,622,0.0378108410641729,0.455887374549462,-1.79085126929457,-0.674673194681688
"AO09",0.0134662837555877,20.1255450873427,544,0.0784554530956018,1.05380981600796,-2.64549791186208,-0.933972730120213
"AO10",0.0325771902573405,-42.5075254532745,248,0.0461354019854191,-0.708446232536202,-3.25001416178835,-1.86773174826291
"AO11",0.0250762069542363,58.0463231367128,206,0.137432372399552,-0.157769819132013,-2.40262719822135,-1.36940084398199
"BF01",0.0103429317458752,101.974730089334,303,0.0868155704475357,1.25040544980659,0.296918393554528,0.644776883120504
"BF02",0.313679220822375,18.3468300617728,436,0.134682136745668,1.42202115599672,-0.178256660048636,0.496025233069969
"BF03",0.389435724232999,-9.48147719371782,585,0.120839979880965,2.06395970319325,-0.194847553098768,1.03310444823344
"BF04",0.0785194222999056,-26.8950240068147,514,0.110888890704175,1.83350931259645,0.455704913137973,1.14273920921469
"BF05",0.393487703945115,16.0718014080525,1180,0.0690597464554851,1.95848535155867,0.690230831273305,1.5502943648422
"BF07",0.430168088822461,10.8514616710848,678,0.0865021705076967,1.52122853727854,-0.502959949484211,0.488487619649373
"BF09",0.00818019365946342,32.9683080589158,833,0.0756292043527711,1.95943432152556,-0.405588568326762,1.19586738820556
"BI02",0.670117055262573,21.7666448213246,350,0.130505366209029,-0.0590843823031403,-0.876522355089617,-0.418375820954059
"BI03",0.779355162296473,4.35340469563543,314,0.11927863354504,0.369419043897241,-1.11586307309217,-0.31656512986045
"BI06",0.122358841757443,-62.153082532868,232,0.191817611274275,-0.206593664600823,-1.39744742332382,-0.717534055154796
"BI07",0.0988822897611141,-79.5206312663346,249,0.0846916879745739,0.139958552772857,-0.670265646836594,-0.31570537891914
"BI08",0.00224911861661609,-30.1157866129457,638,0.131379432217937,0.763660758469666,-1.40375554998821,-0.76597375074018
"BI09",0.0533995291432728,16.6167752101713,634,0.1289093563657,0.733603063326061,-1.29288439703719,-0.349678146917795
"CD03",0.36127421069231,16.4276345432335,447,0.157281462974365,0.694295681512232,-0.943689664317491,-0.0373351284132577
"CD09",0.121949065949942,-17.6858715488011,359,0.171166097894514,1.75911215791143,-1.41749382238275,0.320890461107664
"CD10",0.0014766244835,-65.2200155220827,339,0.258122661659185,0.910730858118695,-1.75754156274708,-0.468815847510707
"CD12",0.546041542777365,5.21705784087596,788,0.133479764477137,1.77542634673656,-2.08304477663988,0.118794839807905
"CD14",0.529030980082972,14.4482471011415,222,0.107343323346831,2.54457069705175,-2.2859581303299,0.703168105366893
"CD16",0.186371289164613,18.3859671891519,418,0.204080244797508,1.28176475846861,-0.702128972524305,0.308393485363089
"CD20",0.0839179346347546,32.2794724000241,292,0.157136194729992,1.29450324175862,-0.873907535955636,0.0696059886978152
"CD21",0.256125008304013,-37.2572379571453,268,0.234044653874389,0.112857316875492,-1.39093276874465,-0.661977415244011
"CD23",0.479014626112594,16.319282453765,519,0.166640725552311,0.577395641783434,-0.684765670905335,-0.0283790525167528
"CD24",0.295911406413365,23.9923908508278,287,0.120841121243983,1.0210493480476,-0.555370313516213,0.0775306755128792
"CD25",0.628572571092243,16.4077278345476,250,0.172698326965342,0.837326812774067,-0.666425054808123,0.00131128075249865
"CD28",0.458737801847309,-15.8204101568843,438,0.132821692605706,1.02777020366951,-0.50817129685222,0.314763281864069
"CD29",0.0597898937011341,-18.993146015383,633,0.115145359677411,1.45264704070442,-1.30407082691631,0.0811356078871666
"ET03",0.854649853796328,-6.1837391814122,217,0.112682685323385,0.307791882720315,-2.00762678838767,-0.803233379052346
"ET04",0.556005739083716,5.63655212619909,708,0.106917688291441,1.25117139963642,-2.15695421386006,-0.668088053347481
"ET05",0.194679336168478,53.2510957319388,338,0.110993088564763,1.07550723601612,-0.499850009744588,0.317056626437245
"ET09",0.023057009492774,30.5782619445376,532,0.0908184974007288,1.35507160181586,-1.85382982434576,-0.0805974121139347
"ET105",0.358954496072674,-11.1938864129719,264,0.246666108734237,1.90020537114062,-2.44779732989591,-0.581758218809023
"ET108",0.712513943247868,6.02176427771532,216,0.190019643136326,1.52158894084745,-0.945255092686701,0.292313351703382
"ET118",0.0268906137251885,54.098071585844,300,0.330437780452201,0.943534208446498,-1.25517571003896,-0.251405117831843
"ET12",0.0901238243264772,-13.73449027016,224,0.128458356487518,2.18089216864198,-2.01320845194585,0.388867081506192
"ET131",0.908419122840791,1.36929208882905,322,0.192324338738739,1.28017714827803,-2.35496991159373,-1.152078410751
"ET133",7.85905740145625e-05,-32.6836663349535,381,0.153495113081844,2.26823825012978,-3.18996364611327,-0.130595972505605
"ET143",0.175200750684981,-17.6093224558853,310,0.30354085759677,1.17390147099922,-1.42972072495368,-0.383342119663436
"ET153",0.0917273834069585,-18.051721997624,401,0.134129630938231,1.9279609221519,-2.6258186199584,-0.729308883144229
"ET167",0.434396402228512,15.0425711303539,246,0.117765967947446,1.87846855066908,-0.96379001857916,0.100739862855092
"ET168",0.462286867045408,6.17110658659393,450,0.195296831203224,1.20213473532646,-2.47111971573448,-0.292476279584753
