source,Tube Well
spring,Tube Well
Spring,Tube Well
"spring, not improved",Tube Well
sprong/kuwa,Tube Well
stone tap/dhara,Pipe
surface water (river/dam),Surface Water
surface water (river/dam/lake/pond/stream/canal/irrigation c,Surface Water
surface water(river/dam/lake/pond/stream/canal/irrigation ch,Surface Water
surface well/other well,Surface Water
surface/other well,Surface Water
tanker truck,Purchased
Tanker truck,Purchased
tanker truck/bowser,Purchased
tanker truck/water vendor,Purchased
"tanker,truck,other v",Purchased
tap in compound,Pipe
tap in dwelling,Pipe
tube well,Tube Well
tube well or borehole,Tube Well
Tube well or borehole,Tube Well
tubed/piped public well or bore hole,Tube Well
tubed/piped well or bore hole in dwelling/yard,Tube Well
tubewell,Tube Well
tubewell in yard/plot,Tube Well
unprotectd well,Tube Well
unprotected dug well,Tube Well
unprotected public well/spring,Tube Well
unprotected spring,Tube Well
Unprotected spring,Tube Well
unprotected well,Tube Well
Unprotected well,Tube Well
unprotected well/spring in yard/plot,Tube Well
vendor = cart with small tank,Purchased
vendor: cart with small tank,Purchased
water from vendor,Purchased
water in drums/big cans,Purchased
water in house,Pipe
water in plastic bag,Purchased
water sale by company,Purchased
water vender,Purchased
water vendor,Purchased
well equipped with pump,Tube Well
well in compound,Tube Well
well in dwelling,Tube Well
well in house/yard/plot,Tube Well
"well in res, yard",Tube Well
well in residence,Tube Well
well in residence/yard/compound,Tube Well
Well inside dwelling,Tube Well
well into dwelling/yard/plot,Tube Well
well outside residence,Tube Well
well with handpump,Tube Well
well with pump,Tube Well
well without handpum,Tube Well
well without hndpump,Tube Well
ÿpiped into residence,Pipe
ÿpond/lake,Surface Water
ÿpublic tap,Pipe
ÿpublic well,Tube Well
ÿriver/stream,Surface Water
ÿspring,Tube Well
ÿwell in residence/yard/plot,Tube Well
