"num","cc","subversion","WI","KR","GE","PR","KRheight","KRweight","KRage","PRheight","PRweight","PRage","useable","PRgood","KRgood"
"4","RW",1,"RWwi42fl.dta","RWKR41FL.DTA","","RWPR41FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"6","RW",3,"","RWKR6QFL.DTA","","RWPR6QFL.DTA",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"5","SL",1,"","SLKR51FL.DTA","SLGE53FL.shp","SLPR51FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","SL",1,"","SLKR61FL.DTA","SLGE61FL.shp","SLPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"7","SL",1,"","SLKR71FL.DTA","SLGE71FL.shp","SLPR71FL.DTA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","SN",1,"","SNKR21FL.DTA","SNGE23FL.shp","SNPR21FL.DTA",TRUE,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE
"3","SN",1,"SNWI32FL.DTA","SNKR32FL.DTA","SNGE32FL.shp","SNPR32FL.DTA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","SN",2,"","SNKR4HFL.dta","SNGE4BFL.shp","SNPR4HFL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5","SN",2,"","SNKR5HFL.DTA","SNGE5AFL.shp","SNPR5HFL.DTA",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"6","SN",1,"","SNKR61FL.DTA","SNGE61FL.shp","SNPR61FL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6","SN",2,"","SNKR6DFL.DTA","SNGE6AFL.shp","SNPR6DFL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"7","SN",2,"","SNKR7HFL.DTA","SNGE7AFL.shp","SNPR7HFL.DTA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
